RepoName,RepoType,GitHubURL
IBM/MAX-Object-Detector,Applied,https://github.com/IBM/MAX-Object-Detector.git
sinhrks/daskperiment,Tool,https://github.com/sinhrks/daskperiment.git
nature1995/Face-Recognition-System,Applied,https://github.com/nature1995/Face-Recognition-System.git
sorenlind/lemmy,Tool,https://github.com/sorenlind/lemmy.git
Zenohm/Friday,Applied,https://github.com/Zenohm/Friday.git
okfn-brasil/serenata-de-amor,Applied,https://github.com/okfn-brasil/serenata-de-amor.git
VSainteuf/izitorch,Tool,https://github.com/VSainteuf/izitorch.git
CyberZHG/keras-gpt-2,Applied,https://github.com/CyberZHG/keras-gpt-2.git
NTMC-Community/MatchZoo,Applied,https://github.com/NTMC-Community/MatchZoo.git
bfelbo/DeepMoji,Applied,https://github.com/bfelbo/DeepMoji.git
datmo/datmo,Applied,https://github.com/datmo/datmo.git
trevorstephens/gplearn,Tool,https://github.com/trevorstephens/gplearn.git
ealcobaca/pymfe,Applied,https://github.com/ealcobaca/pymfe.git
lucasmaystre/choix,Applied,https://github.com/lucasmaystre/choix.git
dmbee/seglearn,Applied,https://github.com/dmbee/seglearn.git
mackelab/delfi,Applied,https://github.com/mackelab/delfi.git
elitcloud/elit,Tool,https://github.com/elitcloud/elit.git
undertheseanlp/languageflow,Applied,https://github.com/undertheseanlp/languageflow.git
jonasrothfuss/fishervector,Applied,https://github.com/jonasrothfuss/fishervector.git
kLabUM/rrcf,Applied,https://github.com/kLabUM/rrcf.git
IBM/MAX-Text-Sentiment-Classifier,Applied,https://github.com/IBM/MAX-Text-Sentiment-Classifier.git
jawahar273/practNLPTools-lite,Applied,https://github.com/jawahar273/practNLPTools-lite.git
tensorly/tensorly,Tool,https://github.com/tensorly/tensorly.git
ScottfreeLLC/AlphaPy,Applied,https://github.com/ScottfreeLLC/AlphaPy.git
vkuznet/MLaaS4HEP,Applied,https://github.com/vkuznet/MLaaS4HEP.git
hawk31/pyGPGO,Applied,https://github.com/hawk31/pyGPGO.git
mir-am/LightTwinSVM,Tool,https://github.com/mir-am/LightTwinSVM.git
JonathanRaiman/pytreebank,Applied,https://github.com/JonathanRaiman/pytreebank.git
iandanforth/pymuscle,Applied,https://github.com/iandanforth/pymuscle.git
chainer/onnx-chainer,Applied,https://github.com/chainer/onnx-chainer.git
hachmannlab/chemml,Applied,https://github.com/hachmannlab/chemml.git
Cloud-CV/EvalAI,Applied,https://github.com/Cloud-CV/EvalAI.git
Legilibre/legi.py,Applied,https://github.com/Legilibre/legi.py.git
oseiskar/autosubsync,Applied,https://github.com/oseiskar/autosubsync.git
maxrousseau/pfla,Applied,https://github.com/maxrousseau/pfla.git
apple/turicreate,Applied,https://github.com/apple/turicreate.git
DrSleep/light-weight-refinenet,Applied,https://github.com/DrSleep/light-weight-refinenet.git
sethah/deeptennis,Applied,https://github.com/sethah/deeptennis.git
scikit-garden/scikit-garden,Applied,https://github.com/scikit-garden/scikit-garden.git
netrack/keras-metrics,Applied,https://github.com/netrack/keras-metrics.git
chakki-works/chazutsu,Tool,https://github.com/chakki-works/chazutsu.git
src-d/ml-core,Tool,https://github.com/src-d/ml-core.git
dirty-cat/dirty_cat,Applied,https://github.com/dirty-cat/dirty_cat.git
Hananel-Hazan/bindsnet,Applied,https://github.com/Hananel-Hazan/bindsnet.git
OFAI/hub-toolbox-python3,Applied,https://github.com/OFAI/hub-toolbox-python3.git
sintefneodroid/agent,Applied,https://github.com/sintefneodroid/agent.git
pescadores/pescador,Applied,https://github.com/pescadores/pescador.git
CyberZHG/wiki-dump-reader,Applied,https://github.com/CyberZHG/wiki-dump-reader.git
MagNet-DL/magnet,Applied,https://github.com/MagNet-DL/magnet.git
daniel-cortez-stevenson/crypto-predict,Applied,https://github.com/daniel-cortez-stevenson/crypto-predict.git
mikgroup/sigpy,Applied,https://github.com/mikgroup/sigpy.git
maximecb/gym-miniworld,Applied,https://github.com/maximecb/gym-miniworld.git
cgre-aachen/bayseg,Tool,https://github.com/cgre-aachen/bayseg.git
leopepe/GOApy,Applied,https://github.com/leopepe/GOApy.git
alvations/sacremoses,Applied,https://github.com/alvations/sacremoses.git
imgarylai/bert-embedding,Applied,https://github.com/imgarylai/bert-embedding.git
braincreators/octconv,Applied,https://github.com/braincreators/octconv.git
alvations/pywsd,Applied,https://github.com/alvations/pywsd.git
kpe/bert-for-tf2,Tool,https://github.com/kpe/bert-for-tf2.git
wzpan/wukong-robot,Applied,https://github.com/wzpan/wukong-robot.git
IBM/MAX-Audio-Embedding-Generator,Applied,https://github.com/IBM/MAX-Audio-Embedding-Generator.git
zuoxingdong/lagom,Applied,https://github.com/zuoxingdong/lagom.git
esowc/ml_drought,Applied,https://github.com/esowc/ml_drought.git
google/tangent,Applied,https://github.com/google/tangent.git
wesselb/stheno,Applied,https://github.com/wesselb/stheno.git
IBM/MAX-News-Text-Generator,Applied,https://github.com/IBM/MAX-News-Text-Generator.git
nicodv/kmodes,Applied,https://github.com/nicodv/kmodes.git
alvinwan/timefhuman,Applied,https://github.com/alvinwan/timefhuman.git
ikegami-yukino/pymlask,Applied,https://github.com/ikegami-yukino/pymlask.git
loli/medpy,Applied,https://github.com/loli/medpy.git
maxpumperla/elephas,Applied,https://github.com/maxpumperla/elephas.git
JoergFranke/ADNC,Applied,https://github.com/JoergFranke/ADNC.git
nlppln/nlppln,Applied,https://github.com/nlppln/nlppln.git
ikegami-yukino/neologdn,Tool,https://github.com/ikegami-yukino/neologdn.git
neka-nat/tensorboard-chainer,Tool,https://github.com/neka-nat/tensorboard-chainer.git
vecxoz/vecstack,Tool,https://github.com/vecxoz/vecstack.git
innodatalabs/tbert,Tool,https://github.com/innodatalabs/tbert.git
sintefneodroid/neo,Tool,https://github.com/sintefneodroid/neo.git
nerox8664/gluon2pytorch,Applied,https://github.com/nerox8664/gluon2pytorch.git
pymc-learn/pymc-learn,Applied,https://github.com/pymc-learn/pymc-learn.git
wkentaro/chainer-cyclegan,Applied,https://github.com/wkentaro/chainer-cyclegan.git
shineware/PyKOMORAN,Applied,https://github.com/shineware/PyKOMORAN.git
snipsco/snips-nlu-metrics,Applied,https://github.com/snipsco/snips-nlu-metrics.git
verifid/mocr,Applied,https://github.com/verifid/mocr.git
scikit-optimize/scikit-optimize,Applied,https://github.com/scikit-optimize/scikit-optimize.git
bigartm/bigartm,Applied,https://github.com/bigartm/bigartm.git
fcurella/django-recommends,Applied,https://github.com/fcurella/django-recommends.git
astorfi/3D-convolutional-speaker-recognition,Applied,https://github.com/astorfi/3D-convolutional-speaker-recognition.git
guokr/Caver,Tool,https://github.com/guokr/Caver.git
MisaOgura/flashtorch,Tool,https://github.com/MisaOgura/flashtorch.git
modAL-python/modAL,Tool,https://github.com/modAL-python/modAL.git
chainer/chainercv,Tool,https://github.com/chainer/chainercv.git
NVIDIA/DIGITS,Tool,https://github.com/NVIDIA/DIGITS.git
r9y9/nnmnkwii,Tool,https://github.com/r9y9/nnmnkwii.git
stanfordnlp/stanfordnlp,Tool,https://github.com/stanfordnlp/stanfordnlp.git
raviqqe/tensorflow-qnd,Tool,https://github.com/raviqqe/tensorflow-qnd.git
Mariewelt/OpenChem,Tool,https://github.com/Mariewelt/OpenChem.git
reiinakano/scikit-plot,Tool,https://github.com/reiinakano/scikit-plot.git
PetrochukM/PyTorch-NLP,Tool,https://github.com/PetrochukM/PyTorch-NLP.git
clips/pattern,Tool,https://github.com/clips/pattern.git
Maluuba/nlg-eval,Tool,https://github.com/Maluuba/nlg-eval.git
yxonic/fret,Tool,https://github.com/yxonic/fret.git
arthurpaulino/miraiml,Tool,https://github.com/arthurpaulino/miraiml.git
fukatani/stacked_generalization,Tool,https://github.com/fukatani/stacked_generalization.git
